flight_number,airport,type,status,aircraft
6E 33,DEL,Departure,Canceled,
AI 3201,DEL,Departure,Departed,VT-EXO
LH 763,DEL,Departure,Departed,D-AIMA
AI 3207,DEL,Departure,Canceled,
LX 147,DEL,Departure,Departed,HB-JHD
AI 2702,DEL,Departure,Departed,VT-TNS
KU 382,DEL,Departure,Canceled,
AI 2336,DEL,Departure,Departed,VT-EXT
ET 687,DEL,Departure,Departed,ET-ANN
AI 2577,DEL,Departure,Departed,VT-TNP
6E 2343,DEL,Departure,Departed,VT-ICK
G9 464,DEL,Departure,Departed,
KC 964,DEL,Departure,Departed,EI-KDA
BA 142,DEL,Departure,Departed,
6E 2358,DEL,Departure,Departed,VT-ILR
DL 9491,DEL,Departure,Departed,
KL 872,DEL,Departure,Departed,
AF 8440,DEL,Departure,Departed,
AI 277,DEL,Departure,Departed,VT-EDC
IX 1683,DEL,Departure,Departed,
TG 332,DEL,Departure,Departed,HS-TXS
LH 761,DEL,Departure,Departed,D-ABVZ
AI 101,DEL,Departure,Departed,VT-JRH
6E 2766,DEL,Departure,Departed,VT-NCW
BA 7983,DEL,Departure,Departed,
VS 8734,DEL,Departure,Departed,
JL 9074,DEL,Departure,Departed,
AF 3791,DEL,Departure,Departed,
QF 5289,DEL,Departure,Departed,
AA 9184,DEL,Departure,Departed,
IX 1230,DEL,Departure,Departed,VT-RNT
ZZ 330,DEL,Departure,Departed,
AI 215,DEL,Departure,Departed,VT-EDE
EK 513,DEL,Departure,Departed,
AZ 769,DEL,Departure,Departed,EI-HJP
VS 8895,DEL,Departure,Departed,
BA 8800,DEL,Departure,Departed,
AF 6074,DEL,Departure,Departed,
6E 6820,DEL,Departure,Departed,
AI 147,DEL,Departure,Departed,VT-TSP
EY 219,DEL,Departure,Departed,
AI 2653,DEL,Departure,Departed,VT-TNQ
6E 5037,DEL,Departure,Departed,
BA 8808,DEL,Departure,Departed,
AF 3363,DEL,Departure,Departed,
VS 8929,DEL,Departure,Departed,
QF 5355,DEL,Departure,Departed,
JL 9701,DEL,Departure,Departed,
6E 2471,DEL,Departure,Departed,VT-ITX
6E 2308,DEL,Departure,Departed,
VS 8682,DEL,Departure,Departed,
TK 4680,DEL,Departure,Departed,
AF 3789,DEL,Departure,Departed,
AA 9201,DEL,Departure,Departed,
JL 9040,DEL,Departure,Departed,
J2 58,DEL,Departure,Departed,
6E 6769,DEL,Departure,Departed,VT-NHM
6E 5103,DEL,Departure,Departed,
6E 5273,DEL,Departure,Departed,VT-IQN
VS 8368,DEL,Departure,Departed,
JL 9611,DEL,Departure,Departed,
QF 8673,DEL,Departure,Departed,
AI 1703,DEL,Departure,Departed,
AI 2469,DEL,Departure,Departed,VT-TQB
6E 449,DEL,Departure,Departed,VT-NCK
IX 1108,DEL,Departure,Departed,VT-RTC
XY 330,DEL,Departure,Departed,
QF 8775,DEL,Departure,Departed,
JL 9629,DEL,Departure,Departed,
VS 8775,DEL,Departure,Departed,
6E 2255,DEL,Departure,Departed,
AA 9187,DEL,Departure,Departed,
AF 3364,DEL,Departure,Departed,
IX 1275,DEL,Departure,Departed,VT-BWX
6E 508,DEL,Departure,Departed,TC-TJR
KB 203,DEL,Departure,Departed,A5-RGF
6E 5014,DEL,Departure,Departed,
QF 5363,DEL,Departure,Departed,
6E 6350,DEL,Departure,Departed,
AF 3347,DEL,Departure,Departed,
VS 8643,DEL,Departure,Departed,
JL 9659,DEL,Departure,Departed,
BA 8792,DEL,Departure,Departed,
AA 9189,DEL,Departure,Departed,
JL 740,DEL,Departure,Departed,JA834J
AI 187,DEL,Departure,Departed,VT-ALK
VS 303,DEL,Departure,Departed,G-VTEA
AF 6479,DEL,Departure,Departed,
AA 9178,DEL,Departure,Departed,
VS 8300,DEL,Departure,Departed,
QF 5048,DEL,Departure,Departed,
JL 8461,DEL,Departure,Departed,
6E 6833,DEL,Departure,Departed,VT-IMC
VS 8677,DEL,Departure,Departed,
6E 2301,DEL,Departure,Departed,
AI 2897,DEL,Departure,Departed,VT-EXG
AI 1701,DEL,Departure,Departed,VT-RTM
UL 192,DEL,Departure,Departed,4R-MRE
GF 131,DEL,Departure,Canceled,
6E 2275,DEL,Departure,Departed,VT-IME
AI 1725,DEL,Departure,Departed,
6E 2059,DEL,Departure,Departed,VT-IZE
AI 1797,DEL,Departure,GateClosed,
AI 1745,DEL,Departure,Departed,VT-RTN
IX 1227,DEL,Departure,Departed,VT-BWE
AI 4101,DEL,Departure,GateClosed,VT-ALO
AF 6088,DEL,Departure,Departed,
6E 6212,DEL,Departure,Departed,
VS 8779,DEL,Departure,Departed,
QF 5391,DEL,Departure,Departed,
AI 817,DEL,Departure,Departed,VT-PPU
6E 2262,DEL,Departure,Departed,VT-ICD
6E 5237,DEL,Departure,Departed,VT-IPN
6E 1073,DEL,Departure,Departed,
6E 6557,DEL,Departure,Departed,VT-IMM
AI 929,DEL,Departure,Expected,
AI 2499,DEL,Departure,Departed,
6E 6692,DEL,Departure,Departed,
VS 9327,DEL,Departure,Departed,
QF 5345,DEL,Departure,Departed,
AF 3359,DEL,Departure,Departed,
JL 9703,DEL,Departure,Departed,
BA 8809,DEL,Departure,Departed,
6E 286,DEL,Departure,Departed,
AI 2883,DEL,Departure,Departed,VT-EXN
IX 2843,DEL,Departure,Departed,
QR 7347,DEL,Departure,Canceled,
SG 121,DEL,Departure,Departed,VT-SLB
AI 2409,DEL,Departure,Departed,VT-TNR
JL 9636,DEL,Departure,Departed,
VS 8644,DEL,Departure,Departed,
AF 3773,DEL,Departure,Departed,
6E 6853,DEL,Departure,Departed,
6E 6720,DEL,Departure,Departed,
AI 2571,DEL,Departure,Departed,VT-TQJ
IX 1057,DEL,Departure,Departed,
QP 1801,DEL,Departure,Departed,
QR 579,DEL,Departure,Departed,
IX 1463,DEL,Departure,Departed,VT-BWP
AI 2525,DEL,Departure,Departed,VT-TNB
SG 385,DEL,Departure,Departed,VT-SXA
QF 5625,DEL,Departure,Departed,
AF 6456,DEL,Departure,Departed,
VS 8790,DEL,Departure,Departed,
6E 6686,DEL,Departure,Departed,
AA 9192,DEL,Departure,Departed,
AI 3425,DEL,Departure,Departed,VT-TNH
6E 6602,DEL,Departure,Departed,
AF 3096,DEL,Departure,Departed,
VS 9261,DEL,Departure,Departed,
SU 233,DEL,Departure,Departed,RA-73140
6E 6218,DEL,Departure,Departed,
AI 1793,DEL,Departure,Departed,VT-RTJ
AF 3352,DEL,Departure,Departed,
VS 8486,DEL,Departure,Departed,
MH 5270,DEL,Departure,Departed,
6E 6387,DEL,Departure,Departed,
IX 1228,DEL,Departure,Departed,VT-BOM
AI 1727,DEL,Departure,Departed,VT-RIO
6E 6362,DEL,Departure,Departed,
IX 1067,DEL,Departure,Departed,VT-BWG
AI 415,DEL,Departure,Departed,
6E 5133,DEL,Departure,Departed,
AI 2535,DEL,Departure,Canceled,
IX 1225,DEL,Departure,Departed,VT-BWJ
B3 774,DEL,Departure,Departed,A5-DOR
QP 1831,DEL,Departure,Departed,
6E 5072,DEL,Departure,Departed,VT-ILI
AI 1729,DEL,Departure,Departed,
6E 6346,DEL,Departure,Departed,VT-IBV
AI 879,DEL,Departure,Departed,VT-PPQ
6E 11,DEL,Departure,Canceled,
6E 6287,DEL,Departure,Departed,
VS 8881,DEL,Departure,Departed,
AI 2803,DEL,Departure,Departed,VT-TQQ
IX 1982,DEL,Departure,Departed,VT-RTI
AI 2975,DEL,Departure,Departed,VT-TVB
6E 2411,DEL,Departure,Departed,
VS 8460,DEL,Departure,Departed,
6E 1611,DEL,Departure,Departed,
VS 8395,DEL,Departure,Departed,
6E 6796,DEL,Departure,Departed,
QF 8770,DEL,Departure,Departed,
AA 9188,DEL,Departure,Departed,
JL 9050,DEL,Departure,Departed,
AF 6464,DEL,Departure,Departed,
KU 384,DEL,Departure,Expected,
6E 2031,DEL,Departure,Departed,VT-IQL
AI 139,DEL,Departure,Canceled,
AF 6461,DEL,Departure,Departed,
6E 6411,DEL,Departure,Departed,
VS 9276,DEL,Departure,Departed,
AI 2429,DEL,Departure,Departed,VT-EXJ
AI 3417,DEL,Departure,Departed,VT-CIG
IX 1737,DEL,Departure,Departed,VT-RTE
6E 6403,DEL,Departure,Departed,VT-NCP
AI 1747,DEL,Departure,Departed,VT-RTZ
AI 1743,DEL,Departure,Departed,
VS 8353,DEL,Departure,Departed,
JL 9034,DEL,Departure,Departed,
6E 6836,DEL,Departure,Departed,
QF 5323,DEL,Departure,Departed,
6E 6718,DEL,Departure,Departed,
AA 9204,DEL,Departure,Departed,
AF 3345,DEL,Departure,Departed,
VS 8877,DEL,Departure,Departed,
